,Unnamed: 0,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result,rep_loyalty
0,0,1988,45.48316165,47.73216088,40.92037657,Maryland,1,1988,0.25,Maryland,1,0.5
1,1,1988,45.85567877,45.28995963,47.94349127,Maryland,0,1988,0.75,Maryland,0,0.5
2,2,1992,43.1368021,43.544087,43.74300223,Maryland,0,1992,0.75,Maryland,1,0.7
3,3,1992,32.65877084,32.88251333,35.4332775,Maryland,1,1992,0.25,Maryland,0,0.7
4,4,1996,52.90975123,51.9080554,53.78154767,Maryland,0,1996,0.5,Maryland,1,0.5
5,5,1996,36.719057,36.652487,36.70290003,Maryland,1,1996,0.5,Maryland,0,0.5
6,6,2000,49.59688494,51.29406514,49.08817353,Maryland,0,2000,0.5,Maryland,1,0.3
7,7,2000,37.16591332,39.802637,35.6032419,Maryland,1,2000,0.5,Maryland,0,0.3
8,8,2004,42.32215397,41.2203165,42.97563413,Maryland,1,2004,0.5,Maryland,0,0.1
9,9,2004,52.22410155,54.1446975,49.68864173,Maryland,0,2004,0.5,Maryland,1,0.1
10,10,2008,56.54077087,59.755692,53.22231313,Maryland,0,2008,0.75,Maryland,1,0.0
11,11,2008,36.18436261,36.375099,38.66654550000001,Maryland,1,2008,0.25,Maryland,0,0.0
12,12,2012,56.82757152,57.34714433,57.42435250000001,Maryland,0,2012,0.875,Maryland,1,0.0
13,13,2012,37.16002961,37.58160433,36.3241799,Maryland,1,2012,0.125,Maryland,0,0.0
14,14,2016,27.11351677,27.46572375,28.290517,Maryland,1,2016,0.125,Maryland,0,0.0
15,15,2016,60.62116161,60.788575,57.85967267,Maryland,0,2016,0.875,Maryland,1,0.0
16,16,2020,31.13879387,31.72513667,34.02016,Maryland,1,2020,0.125,Maryland,0,0.0
17,17,2020,62.46487613,62.59121,60.37683000000001,Maryland,0,2020,0.875,Maryland,1,0.0
