,Unnamed: 0,candidate_name,cycle,modeldate,pct_median_adjusted,state
114,114,George Bush,1988.0,9.0,51.5754631,South Carolina
115,115,George Bush,1988.0,10.0,53.859530387096775,South Carolina
116,116,George Bush,1988.0,11.0,56.40803975,South Carolina
381,381,Bill Clinton,1992.0,9.0,34.4378467,South Carolina
382,382,Bill Clinton,1992.0,10.0,34.773657903225796,South Carolina
383,383,Bill Clinton,1992.0,11.0,34.39408633333333,South Carolina
384,384,George Bush,1992.0,9.0,42.20762593333333,South Carolina
385,385,George Bush,1992.0,10.0,40.85977845161289,South Carolina
386,386,George Bush,1992.0,11.0,41.38743333333333,South Carolina
681,681,Bill Clinton,1996.0,9.0,41.849772566666665,South Carolina
682,682,Bill Clinton,1996.0,10.0,41.70313887096774,South Carolina
683,683,Bill Clinton,1996.0,11.0,40.96626139999999,South Carolina
684,684,Bob Dole,1996.0,9.0,48.1062999,South Carolina
685,685,Bob Dole,1996.0,10.0,48.43735990322581,South Carolina
686,686,Bob Dole,1996.0,11.0,49.3134588,South Carolina
981,981,Al Gore,2000.0,9.0,38.24835973333333,South Carolina
982,982,Al Gore,2000.0,10.0,38.42858883870968,South Carolina
983,983,Al Gore,2000.0,11.0,39.15832328571429,South Carolina
984,984,George W. Bush,2000.0,9.0,47.76686903333333,South Carolina
985,985,George W. Bush,2000.0,10.0,51.62125780645161,South Carolina
986,986,George W. Bush,2000.0,11.0,53.412151285714295,South Carolina
1164,1164,George W. Bush,2004.0,9.0,54.51742790000001,South Carolina
1165,1165,George W. Bush,2004.0,10.0,54.9717731935484,South Carolina
1166,1166,George W. Bush,2004.0,11.0,54.92879600000001,South Carolina
1428,1428,Barack Obama,2008.0,9.0,40.96911710000001,South Carolina
1429,1429,Barack Obama,2008.0,10.0,41.55355800000001,South Carolina
1430,1430,Barack Obama,2008.0,11.0,43.00883625,South Carolina
1431,1431,John McCain,2008.0,9.0,49.58714870000002,South Carolina
1432,1432,John McCain,2008.0,10.0,52.43994741935483,South Carolina
1433,1433,John McCain,2008.0,11.0,52.32117225,South Carolina
1602,1602,Mitt Romney,2012.0,9.0,46.084623,South Carolina
1603,1603,Mitt Romney,2012.0,10.0,47.38731977419357,South Carolina
1604,1604,Mitt Romney,2012.0,11.0,47.79253583333334,South Carolina
1866,1866,Donald Trump,2016.0,9.0,46.644687,South Carolina
1867,1867,Donald Trump,2016.0,10.0,45.50755774193547,South Carolina
1868,1868,Donald Trump,2016.0,11.0,46.8408825,South Carolina
1869,1869,Hillary Rodham Clinton,2016.0,9.0,37.80618966666667,South Carolina
1870,1870,Hillary Rodham Clinton,2016.0,10.0,39.47418064516128,South Carolina
1871,1871,Hillary Rodham Clinton,2016.0,11.0,40.30126125,South Carolina
2166,2166,Donald Trump,2020.0,9.0,50.576278,South Carolina
2167,2167,Donald Trump,2020.0,10.0,50.61360548387096,South Carolina
2168,2168,Donald Trump,2020.0,11.0,51.52709000000001,South Carolina
2169,2169,Joseph R. Biden Jr.,2020.0,9.0,43.66589366666666,South Carolina
2170,2170,Joseph R. Biden Jr.,2020.0,10.0,43.855396451612904,South Carolina
2171,2171,Joseph R. Biden Jr.,2020.0,11.0,44.17951666666666,South Carolina
